userName,score,at,content
kedai mr.r,5,2026-07-04 07:31:46,mantap
Suparman Masdar,5,2026-07-04 07:31:12,the best
Ayi Nuraeni,5,2026-07-04 07:26:16,sangat baik
Vick Hidayat,5,2026-07-04 07:25:30,sangat baik dan mudah bertransaksi
Moh Khoirudin,5,2026-07-04 07:24:40,bagus capat dan tepat
Ellen azelia putri,5,2026-07-04 07:22:45,"berguna bgt shoope🫰🏻🫰🏻 ,banyak bgt promo,dan buat kaum mageran ini apk cocok bgtt ,lopyu bgt deh sama shoope"
BangHendri Hendri,5,2026-07-04 07:22:05,aplikasih banyak diskon. keren mantap......ok.....
Sriati,1,2026-07-04 07:18:15,padahal lagi main tiba tiba masuk ke shopee padahal GK pencet apa apa 😮‍💨
Fandi pateda,3,2026-07-04 07:16:59,sangat memuaskan
Davinaya 123,1,2026-07-04 07:13:10,mohon jangan bikin tanda (x) palsu dan tanda (x) yang kecil itu sangat menggangu.
Fidaadevelopmentchar,1,2026-07-04 07:10:48,"iklannya kebanyakan woyy, ngeganggu bgt, dikit-dikit iklan dikit-dikit iklan mulu"
Ahmad Angler,1,2026-07-04 07:03:47,"woy apk rusak,.. meu pencet keluar aja dibikin susah,.. mending perbaiki yang bener dulu,jangan asal update"
Emi Sari,1,2026-07-04 06:58:50,iklan g ngotak
Ghibran Fahrezi,1,2026-07-04 06:57:59,"aplikasi kikir, kalo iklan tombol silang nya sekecil atom, mending mah klo abis di pencet, keluar, eh malah ke aplikasinya."
Suhartono Suhartono,1,2026-07-04 06:56:56,"g pernah daftar shoppee, pas mau daftar nomor hape saya ternyata sudah didaftarkan. dan g bisa login harus lapor kemana?"
Sih Hendri,5,2026-07-04 06:56:32,aplilasi terbaik dan simpel
tafsir baedlowi,1,2026-07-04 06:54:49,gajelas
Namra,1,2026-07-04 06:54:02,MAKAN TUH IKLAN
Leo Nathan,5,2026-07-04 06:52:30,josjis
Kristina Uli,5,2026-07-04 06:50:12,bgus
Bungo Muara,5,2026-07-04 06:48:29,bagus banget aplikasi nya. belanja online lebih cocok emang di shoppi😍😊🥳
Demi Yanti,5,2026-07-04 06:47:59,good job
Surya Indra,5,2026-07-04 06:45:37,okay
Mahoraga1972,1,2026-07-04 06:44:17,"itu tombol X palsu buat apa?, yang bikin iklannya itu orang tolol"
ratu sukma,5,2026-07-04 06:42:24,sangat bagus karena banyak promo Dan diskon
scallywagprof_,1,2026-07-04 06:41:54,maksa banget iklannya.
Siti Hariyani,5,2026-07-04 06:41:40,belanja d shopee sangat puas
alienz nade,5,2026-07-04 06:41:25,sangat bagus👍👍👍
Nando Rizky,1,2026-07-04 06:40:39,pertama kali belanja disini tiba-tiba akun logout sendiri dapat email akun terblokir sudah 3 hari menghubungi cs dan tidak ada solusi . sebagai customer saya merasa dirugikan karena ada saldo di shopeepay dengan nominal lumayan tapi penanganan tidak jelas disuruh menunggu menunggu dan menunggu
Nisfatul Lailiyah,1,2026-07-04 06:39:44,Shoppe tidak aman.masa saldo saya terkuras 1.530k padahal saya nggak masukan pin tiba2 ada pembobolan saldo 1.530.dan di laporkan Ndak ada kelanjutannya katanya mau di email sampai sekarang di email gak ada blesanya.di chat di cs di suruh nunggu tiba2 selesai aja laporanya🙂miris sekali shoppe sekarang .data bocorr
Habibi Khairul,1,2026-07-04 06:39:27,"makin hari makin jelak aja nih apk, baru kali ini mesan barang estimasi pengirimannya g pernah update updte hampir 2 minggu, payah bener expedisi luu"
Aiswara Maulidina,1,2026-07-04 06:38:48,"iklan shoope sangat"" meresahkan, ada dimana"" syum gua muak liat nya, iya iya tau disuruh download nih udh gua download juga tetep ada iklan nya, nyebelin bngt tau gak iklan nya😒😒😒"
Alula Ramadhani,1,2026-07-04 06:38:28,"iklannya maksa banget, lagi buka aplikasi lain, padahal ga lagi ngapa ngapain, tapi tiba tiba masuk ke dalem aplikasi nya, jujur ini bukan 1 atau 2 kali, tapi SERING, maksa banget buat masuk ke dalem aplikasi nya, mana gitu sering jebak lagi, saran aku, jangan maksa orang buat masuk ke aplikasi shopee, orang lain lagi fokus, tetiba masuk ke aplikasi lain, sebel banget rasanya, mohon diperbaiki lagi yaa"
Riyem Ghuanyong,3,2026-07-04 06:37:03,makin lama makin jelek pelayananya..msak proses pengantaran sampai 3 hari baru sampai😥😥
Arsyad Willian,5,2026-07-04 06:36:55,terbaik dari toko on lain yaa
Anis Yuliani,5,2026-07-04 06:36:23,produk bagus bagus
Defan,5,2026-07-04 06:33:47,suka banget sama apk ini belanja jadi lebih mudah dan harga nya murah meriah
Putri Adzania05,5,2026-07-04 06:33:39,bagus tapi gak gratis
Rida Tri Rahayu,5,2026-07-04 06:32:50,bagusss shopee tempat belanja yg selalu aku pilih
fani florensia,2,2026-07-04 06:30:56,tolong iklan nya di kurangi ya karena itu menurut saya menganggu di pencet tombol silang MALAH MASUK aplikasi shopee ny tolong yaa iklan nya di kurangi lagi dan menurut saya ini iklan nya terlalu maksa dan terkadang tombol silang nya itu palsu jadi iklan shopee ini agak meresahkan ya ..
Yullie Imelda,5,2026-07-04 06:29:03,"utk shopee selalu pertahan kan. is the best ,setiap keluhan selalu di respon dgn baik"
Marni Mpw,3,2026-07-04 06:27:51,kenapa fitur cod di akun saya selalu mati tidak bisa di gunakan
ian brebes,1,2026-07-04 06:26:09,iklannya maksa banget. tiap mau pencarian harus liat iklan skincare dulu. aplikasi baru d buka harus liat iklan video dulu.
Mardiana Sitorus,5,2026-07-04 06:26:05,keren banget sumpah
Wiwi Isnaeni,1,2026-07-04 06:25:35,"sorry to say, ini apk iklannya maksa bgt. org lagi ngugas tiba tiba ada iklan. tombol x nya juga kecil bgt, yg paling nyebelin tuh kita ga pencet samsek malah tiba tiba pindah sendiri. ngeselin bgt asli deh"
Nixon Watulingas,5,2026-07-04 06:24:37,sngt2 bagus..👍👍👍
Neli Neti,5,2026-07-04 06:23:41,bagus
Lausya Chwe,1,2026-07-04 06:21:07,spam iklan sangat mengganggu
Pengguna Google,5,2026-07-04 06:20:28,Dengan memberikan gratis ongkir...Shopee sangat diminati untuk berbelanja online...tolong juga untuk penjual yg nakal- nakal juga ditertibkan biar tidak merugikan konsumen🙏🙏🙏
Raisa usatazah,5,2026-07-04 06:20:16,sangat memuaskan belanja di shopee
Andin_ official,1,2026-07-04 06:19:51,iklan dimana-mana bikin males buat belanja disini🙄
Rosim Ocim,1,2026-07-04 06:19:35,di kurangi iklan Lu menganggu kenyamanan orang
dimas Dhea,5,2026-07-04 06:16:39,saya sangat suka belanja di Shopee apa yang ku butuhkan semuanya ada.. dan kurir pun semua langganan ku pada ramah..
Reslah Juhardini,1,2026-07-04 06:15:36,"iklannya maksa banget jir, ga nyentuh apa² malah tiba² masuk ke shopee? mana berkali² lagi, nyusahin aja!!"
Maya K Wijaya,2,2026-07-04 06:15:09,"sekarang kok cari driver untuk shoppefood lama sekali yaaaa. entah drivernya yg malas atau bagaimana? pdhl ini dipusat loh di jakarta, dan kadang sering aku kasih tips juga, gk pernah cancel klo dpt driver juga. kenapa ya. tolong diperbaiki"
FrostByte0,1,2026-07-04 06:14:08,ah elah mksa bgt sih iklan ny mending iklan puzzle mau tombol x kek kecil bgtt cokk
Nurjana Karim,1,2026-07-04 06:13:58,"ganggu banget iklan nya maksa orang ga pencet iklan nya malah ke buka aplikasi nya, kadang kalau lagi belajar mau edit sesuatu malah ke buka aplikasi shopeenya jadi pelajaran gw kehapus belum di save mana besok nya mau di kumpul cape"" belajar malah kehapus"
Jagio Gavino Tangdiesak,5,2026-07-04 06:11:48,mantap
Huzen Haraz,1,2026-07-04 06:11:33,beli perdana tri ga bisa di aktifkan. kartu perdana ga ada bungkusan nomornya jadi rugi beli ga bisa di pakai
ayu andhira,5,2026-07-04 06:10:32,sangat membantu dan bagus
Rimuru_ Edtz,4,2026-07-04 06:10:04,murah dan senang tapi min nya lama aja nganter nya dr pada tiktok shop
Mutiah Ailazahra,5,2026-07-04 06:08:12,senang bisa memiliki aplikasi ini
Abang Jali (Rojali),5,2026-07-04 06:07:18,kalau bisa peraturan nya jangan terlalu ketat akun saya kena code M04 katanya melakukan aktivitas mencurigakan.
Sary Widyati,2,2026-07-04 06:04:36,awalnya sering pakai dan belanja disini bagus kok cuma tiap lagi buka aplikasi lain kadang muncul iklan shopee pdhl udh pencet X tpi malah masuk ke aplikasi sangking keselnya aku hapus. pernah juga lagi asik nonton tiba pindah layar ke apk shopee heran banget iklan sih iklan tapi yg wajar dong jgn smpai mengganggu
Raid Abrisam,5,2026-07-04 06:01:42,mantap
Faeyzafaeyzi Ezaezi,5,2026-07-04 06:01:14,"SENGAJA DI KSH BINTANG 5 BIAR GA TENGGELAM,SHOPEE PELAYANAN NYA LAMBAT,CS SUSAH DI HIBUNGIN,PAKET STUCK DI DC TERUS 2 HARI, KOMPLEN GA DI TANGGEP"
Muhammaddaiman Najiha,5,2026-07-04 06:01:12,mantap
Akbar Ramadhani23,1,2026-07-04 05:57:12,"pesanan lama, ud gitu tiba"" di bakalan se enk nya tanpa konfirmasi terlebih dahulu"
Sabilla Cahya,1,2026-07-04 05:50:55,"STOPPP MUNCUL IKLAN DIMANA MANA YAA, MUAK AKUU GANGGU ORANG. GAK ADA TANDA IKLAN TIBA TIBA KAU NGIKLANNN. UDAH IKLAN KAU BANYAK NIPUU, LAMA LAGI. BIKIN LEG HP KU AJA KAU"
frengki putra,5,2026-07-04 05:50:15,sangat membantu dan simpel
Bung Tomo,5,2026-07-04 05:46:59,"Selalu saja ada gebrakan promonya. sangat menyenangkan dan bisa menghemat lebih banyak belanja melalui Shopee. Terkini ada ShopeeVIP, makin memuaskan. Terimakasih, Shopee!"
Fatimah Ocha,3,2026-07-04 05:46:31,"menurut saya aplikasi ini cukup terpercaya dan bagus tapi tolong iklannya di kondisikan tolong jangan terlalu memaksa, di saat saya ingin menekan tombol x malah masuk ke aplikasi hal ini cukup mengganggu"
Airaa Urrluvly,1,2026-07-04 05:45:54,dongooo
Muhamad Iqbal,2,2026-07-04 05:45:01,"pesan shopee food, tapi tidak menemukan driver terus, kelamaan, apakah shopee sekarang tidak punya driver?"
Calysta Nur Alifiani,5,2026-07-04 05:44:59,oke
Sofia Nabila,3,2026-07-04 05:44:57,pengirimannya ga secepat yang dulu
Pardamean Sitorus,5,2026-07-04 05:44:18,mantullll...
Padiaaa diaaa,1,2026-07-04 05:43:21,penanganan retur barang sangat lambat!
Akbar Arisqika,4,2026-07-04 05:42:53,harus menambahkan fitur urutkan ke ulasan paling terbaru menurut tanggal di menu penilaian produk
yssany pecinta kucing,5,2026-07-04 05:41:27,👍ok
Enggal Fatwa Arifiana,1,2026-07-04 05:41:21,"CS tidak aktif, pesanan terlambat 7 hari tidak ada konfirmasi"
Yuyu Widawati,5,2026-07-04 05:40:40,tetap terus ditingkatkan pelayanannya
Deraya 15,1,2026-07-04 05:38:49,iklan nya sangat mengganggu dan sangat banyak👎👎
Marsel ADY09,5,2026-07-04 05:37:13,sangat puas dengan aplikasi shopee ini barang langsung terima dirumah bisa di cek terlebih dahulu soal harga pun lebih Murmer
Anaya Kirana,1,2026-07-04 05:37:08,iklan tempek. gua pencet tombol x eh malah palsu. 🥀💔
sufia aja,5,2026-07-04 05:34:50,"belanja dishoppe bnyak diskon nya, pelayanan sangat baik dan pengiriman tepat waktu tidak mengecewakan belanja dishoppe yg terbaik."
Syaikhul Zahidin,2,2026-07-04 05:33:40,"ketika berbelanja harganya murah , tapi pas chekout malah mahal"
Sugiman Giman,5,2026-07-04 05:32:03,sangat baik
Stiawan Setiawan,5,2026-07-04 05:31:38,ok
Muhammad Farel Ardafa,3,2026-07-04 05:29:02,Knpa iya akhir-akhir ini shoppe partner sering susah driver muter trus sampai abis waktu dan akhir nya knpa peringatan mulu. dan satu lagi klo ada yg ngasih rating ke resto bintang 5 mau berapa orang pun susah naiknya beda sama yg ngasih bintang 3 langsung anjok
Putra,5,2026-07-04 05:27:41,baik
Super Nova,1,2026-07-04 05:26:32,"tolong di perbaiki, aku belanja barang di shope, map di aplikasi Shopee nya tiba tiba eror, gak bisa memantau kurir sampai ke rumah apa belum, tolong di perbaiki"
Bandet Bandet,5,2026-07-04 05:26:02,the beast
Kartika Candra,5,2026-07-04 05:23:36,good
Nunik Suryani,5,2026-07-04 05:21:00,suka belanja di sini
Dewi nufidy,5,2026-07-04 05:19:50,baik
Ibrahim Wahab,5,2026-07-04 05:19:10,sangat membantu
Rizka Hanna,1,2026-07-04 05:17:35,iklannya maksa banget!!!
Aznah Windasam,1,2026-07-04 05:16:48,"uninstall aja, aplikasi gak jelas. gak guna, orang sudah order, nunggu datang ternyata dibatalkan. alasannya aktivitas tidak wajar, lu kira yang order robot. UNINSTALL AJA"
Nanang Priyanto,5,2026-07-04 05:15:52,baik
Qadri Ari,5,2026-07-04 05:15:48,tempat belanja bagus
Atarah Hasan,3,2026-07-04 05:15:04,bagus
Ayunda Ayu,1,2026-07-04 05:14:11,iklan nya itu jangan maksa bgt KA tolong perbaiki saya lagi main game ada iklan shopee trs kan udah tuh ada tanda X nya saya pencet malah buka apknya sudah berkali kali loh pas itu juga kak KLO Kya gini ganggu bgt saya juga pas buat tugas trs muncul iklan ini maksa🙏🏻
widya rohmatul,1,2026-07-04 05:13:19,iklannya suka maksa masuk ke aplikasi🤬🤬
Nurdin Khalid,5,2026-07-04 05:11:53,"Aplikasi belanja online terbaik, semoga banyak promo dan gratis ongkirnya, terima kasih"
hykl 3st,5,2026-07-04 05:08:03,memesan sesuai dengan barang yang di pesan
Petaling Jambi,4,2026-07-04 05:05:52,"aplikasi nya bagusss , sumpah suka banget mna murah ². lagi harganya ,suka banget dehhh pokoknya.tpi yg bikin kesel tuuu kurirnya sumpah kesel banget"
nafisah zamroni,1,2026-07-04 05:04:50,"klo bikin iklan yg ngotak lah anjir, ganggu dimana mana, lagian app lu tuh dah banyak di pake jir masih aja pake iklan yg maksa bgt naudzubillah, plis lahh nyusahin tau gak alay"
Nora Nora hawa,5,2026-07-04 05:04:29,bagus
Adhwa Farihah Budhiman,1,2026-07-04 05:04:13,iklannya dimana mana dan sangat mengganggu
Assyifa Nur fatimah,5,2026-07-04 05:03:52,ok
Aldi Rahman,5,2026-07-04 05:03:25,shopee emang mantap
Nadin Dania,1,2026-07-04 05:03:03,bisa ga sih gausah maksa masuk aplikasi muak banget please lagi ngelakuin sesuatu malah masuk ke apk terus ilang??? stop maksa ah musnah aja shoppe
Nur Fuad,5,2026-07-04 05:00:47,ok
Epa Diana,5,2026-07-04 05:00:40,sangat bagus
Danes Wara,1,2026-07-04 04:58:59,"iklan banyak, pas mau pencet tanda X malah masuk ke shoope"
Raden Kiara,1,2026-07-04 04:55:51,"apasi iklannya nge ganggu bngt, berlebihan, lagi ada di apk lain iklan muncul terus langsung pindah ke shopee berkali kali, ribet bngt, lagi iklan padahal hp disimpen ga ke pencet apa apa malah tiba tiba masuk ke shopee, jadi harus bulak balik, malah jadi males pake shopee bikin emosi, awal awal masi oke, tapi kesini sini malah makin makin iklannya, padahal untuk apk ok kebantu tiap butuh sesuatu, tapi iklannya ga bngt maksa maksa"
Ristin Nur khasanah,5,2026-07-04 04:55:06,good
Artha Vega,5,2026-07-04 04:54:00,Bagus
Jon Ru,5,2026-07-04 04:53:29,makin mantapp
yati Kartika,5,2026-07-04 04:52:02,Shopee masih ter the best sampai saat ini untuk saya
Sherly Sky,3,2026-07-04 04:49:00,"apk bagus, tapi iklan jebakan, saya lagi enak² nonton drachin tiba-tiba iklan. pas sy mw pencet tanda ""x"" malah masuk ke apk Shopee, kan jadi hilang tuh drachin yng sy tonton. 😑 bukan sekali dua kali tapi sering sy ketipu sm iklan ini🤦‍♂️"
Aisyah Nafisah,5,2026-07-04 04:45:45,Alhamdulillah kak mangkoknya udah datang dg harga rp 1125 .aku kira mangkok kecil sekali ternyata bisa untuk makan mie instan .smg sukses kakak
jhon hendri,5,2026-07-04 04:45:17,"saya sangat puas dgn layanan shopee, Indonesia."
Gloria Apriliani,5,2026-07-04 04:43:27,bagus dan banyak fhocer nya juga
Slank Anakmami,5,2026-07-04 04:43:23,sangat membantu sekali dalam kehidupan sehari hari
Bangtek Tek,5,2026-07-04 04:41:11,selama ini shopee bagus
Baihaqi Nurhakim,3,2026-07-04 04:39:51,"HATI-HATI..!!! Dengan yang namanya, Spinjam penjual, Spinjam, dan Spaylater yang ada di shopee.. itu adalah JEBAKAN HUTANG, yang akan terus membuat kalian bekerja tanpa henti hanya untuk menutupi hutang yang tak kunjung LUNAS, karena HANYA Gali lobang tutup lobang.. pikirkan lagi ribuan kali jika kalian ingin mencoba nya.. karena disini bunganya tinggi dan jangka waktu yang singkat.."
Rasyid Sapii,5,2026-07-04 04:39:28,Semoga semakin baik lagi kedepannya. Perbanyak fitur yg membantu ekonomi masyarakat menengah kebawah. Bravo..bravo.. Shopee.
Ratih Karim,5,2026-07-04 04:38:53,sangat membantu di segala kebutuhan sehari hari
ー ด. sʜiʀᴏu,1,2026-07-04 04:38:03,"walaupun apk nya uda ke instal masih aja ada iklannya, mana iklannya nyebelin banget, banyak tombol x palsu, bukannya narik perhatian org lain biar instal shopee tapi yang ada malah mereka kesel gegara iklan nya..."
Yor Majesty,1,2026-07-04 04:36:43,iklan lu caper banget monyetttttt. kalo udah nampilin iklan tuh ga usah pake harus di arahin ke aplikasi segala. rese banget
Almira Damayanti,5,2026-07-04 04:34:40,"shopee membantu banget buat aku yang jarang keluar rumah, dan gasuka ke mall... sayang shopeee"
denny saras,5,2026-07-04 04:34:36,memuaskan
Tobi Bobi,1,2026-07-04 04:33:50,iklan shoppe maksa banget
Jihan Talita ulfa,5,2026-07-04 04:33:06,BAGUS POLLLL CINTA PKOK NYA SAKA SI OREN INII!!!
Abi Abi,5,2026-07-04 04:30:57,lumayan puas
AZZAM,1,2026-07-04 04:30:53,Iklannya nggak jelas bet. Tombol X nya kekecilan. Waktu aku mau pencet tombol X nya malah kewebsite
Zidan Majid,1,2026-07-04 04:29:54,CARI SHOPEE FOOD DRIVER NYA TOLONG DITINGKATKAN LAGI!
Dian,4,2026-07-04 04:28:46,"harga cukup terjangkau pengiriman barang kadang sampai 2 hari 3 hari 4 hari 5 hari 6 hari 7 hari developer tolong sekarang di ubah pengiriman barang kalau pesan barang nya banyak di percepat pengiriman barang nya karena pesan barang nya masih 1 pulau & 1 provinsi , tolong developer agar akun shopee nya cepat ke level member gold jangan di haruskan untuk melakukan transaksi 30 transaksi lagi tapi 15 transaksi lagi begitu"
Alessandro,5,2026-07-04 04:27:27,"bagus, dapat diskon lebih bgus"
Kitw W,1,2026-07-04 04:26:49,iklan maksa banget tolong jangan banyakin iklan gitu gk berguna kadang ada tombol palsu terus kalok di pencet langsung ke aplikasi nya
Asep Heri,5,2026-07-04 04:25:39,"pelayanan nya ramah, admin nya juga fast respon"
Agdan Danish,5,2026-07-04 04:25:33,pengiriman nya lama banget
ATAYHA Putra,5,2026-07-04 04:24:10,top👌🏿
Raini Gultom,5,2026-07-04 04:18:54,senang belanja di aplikasi shope
Syafa meiya P,1,2026-07-04 04:17:48,"iklan lu nohh berlebihan, dimana mana taii, bikin kesel. pas mau kembali dari iklan, beralih ke shopee mulu heran dah🙄"
Fatih Rizki,1,2026-07-04 04:17:02,gabisa di co gajelas lah
Faza Prayoga,1,2026-07-04 04:15:26,"LAIN KALI IKLAN NYA JANGAN MAKSA GITU ORANG UDAH MENCET TOMBOL X INI MALAH MASUK KE APLIKASI NYA KALO GA LAKU YAUDAH DIEM AJA JANGAN MAKSA GITU NTAR JUGA BANYAK PEMBELI GIMANA REJEKI TU MAH BUKAN MAKSA GITU, DAN PAKET JUGA KALO GABISA DATENH HARI H BILANG NYA DARI AWAL JANGAN PAS HARI H NYA BARU BILANG ORANG UDAH NUNGGU LAMA"
Dinaaillya Tul,1,2026-07-04 04:15:22,"kenapa bintang 1?karena iklan kalian banyakkk,baru nonton tiba tiba kalian muncul tanpa aba aba,kurangin iklan nyaa dehhhh"
Saeful Arifin,5,2026-07-04 04:13:14,sesuai harapan
Fitri 27,1,2026-07-04 04:12:55,"bisa ga sih kalo iklan itu ga usah maksa banget, kami tahu kok di mana tempat belanja, ini udh tahu kami punya apk lain di situ semua iklan Shopee aja salah pencet masuk padahl lagi belajar lagi fokus malah iklan lo mulu keluar... sama halnya bukannya buat konsumen senang malah jadi risih tahu... kami kalo mau belanja pasti juga buka Shopee kami tahu itu.. di kira zaman purba kah?... zaman moderen ini tahu kami apk Shopee, TAHU KAMI, JADI BISA GA, GA USAH MAKSA BETUL IKLANNYA,BENCI SHOPEE GW"
Hendra Yana,5,2026-07-04 04:12:38,good job
Barra ber,5,2026-07-04 04:11:09,Best aplikasi markertplace
Wawan Hermanto,5,2026-07-04 04:07:18,"terbaik, termurah dan termudah. pilihan barang terlengkap, banyak gratis ongkirnya."
Jihan Ayu Humaira,1,2026-07-04 04:07:15,"sekarang pengirimannya lama bgt, sdh melewati waktu estimasi, 1 bulan baru sampe paketnya"
Adi Utoyo,5,2026-07-04 04:07:00,mantap
suharno Harno,5,2026-07-04 04:06:12,bagus
penguasa gold,1,2026-07-04 04:05:54,"ini admin Shopee gimana kerjanya giliran ada yang kasih bintang 5 di puji puji langsung di bales, giliran ada yang kasih bintang 1 pada melongo ga di bales, padahal itu kritik biar Shopee lu masalah iklan di perbaiki, SADAF Shopee iklan lu ganggu apalagi ada yg sedang kuliah/kerjaan"
Anwarsani Sani,5,2026-07-04 04:03:48,"Makin Kemari Smakin Luar biasa ini Shopee pelayannya, sya sangat suka banget & kmajuan dalam responnya sangat cepat, sya tdk Kecewa sbab berpuluh puluh x sya transaksi blanja di Shopee slalu pas & sesuai yg sya harapkan, ok Shopee Sukses slalu smoga makin Maju kdepannyap"
Slamet Riyadi,5,2026-07-04 04:02:42,mantaap cepat simpel
Calvin Kechill,5,2026-07-04 04:00:42,tengkyu
Rafka Sabhan fuadi,1,2026-07-04 03:59:37,iklann terlalu memaksa saya sedang menonton free rels dan ada iklan shoppe yang membuat hp saya tidak bisa touch apa apa dan membawa virus
Thiayenita Haloho,1,2026-07-04 03:57:31,"sebal sama aplikasinya, suka suka hati aja menganti tgl estimasi nya sampainya. paket stuck di satu tempat yang lama tapa ada kejelasan, dan tiba tiba sesuka hati menambahi hari estimaainya, mau di batalin gak bisa."
Tsaqif Kamil,1,2026-07-04 03:57:03,keseringan iklan
Sakina Mawaddah,1,2026-07-04 03:52:48,"mohon pihak Shopee tolong iklan di kurangin dan jangan maksa banget iklannya plisss mohon banget ini, buka apk tiba"" ada iklan Shopee."
Waade Pongko,5,2026-07-04 03:51:57,saya sangat suka
Tino No,5,2026-07-04 03:51:46,Bagus Sekali
Arya Elek,3,2026-07-04 03:50:19,gk ada tombol Terima sekarang
Sellena Ellora,1,2026-07-04 03:49:24,"ayolah, aku sudah download aplikasi ini. masalahku adalah, mengapa kamu menbuat iklan yang memaksaku untuk masuk ke aplikasi? dan ada apa dengan tombol × palsu yang kamu ciptakan? menyebalkan."
Sri Rahayu,2,2026-07-04 03:47:59,pake VIP ga guna tetep aj bayar ongkir bayar parkir
Repan Freeplayer,1,2026-07-04 03:47:44,saya turun kan rantung dari 5 ke 1 karena lama lama ga jelas masa shopeepay saya di bekukan gara gara pin mau di aju banding malah eror terus sistem nya rugi uang saya dasar
Hamidah Mida,5,2026-07-04 03:47:38,bagus tapi harus ada npwp jadi uda daftar jadi jarang promoin barang 😁
Herman Piliang,5,2026-07-04 03:47:36,shopee mantap
Fitrii,1,2026-07-04 03:46:53,"apk busuk yang pernah aku temuin, even beli voc kepake aja gabisa di refund apaan banget sih, sering lag banget lagi. Padahal gaada event samsek, jangan karna udah banyak yang pake seenaknya benerin lah semua bug dan ketentuan mu itu bikin males tau ga jelek banget sumpah"
Sumarsih Sugito,5,2026-07-04 03:44:41,aplikasi enak buat belanja tapi banyak juga seller yang ngirim barang cacat
Adhi Kurniawan,5,2026-07-04 03:44:08,Aplikasi belanja yg mudah dan banyak produk promo
Zahra Rahma Aliyah,1,2026-07-04 03:43:49,KEBANYAKAN IKLANNNNN!!! SUSAH DIPENCET PULA!!!!
